0,646,951,202,905,586,772,134,650,147.5,632.5,825,594,818.5,453.5,589,311,151.5,301.5,463.5,299.5,715,141,198,92
1,649,953,203,905,587.5,768.5,135,650,147.5,632.5,828,594,816.5,454.5,590,312,151.5,301.5,464,300,714,141,194.5,93.5
2,651,954,203,905,588,770,136,649,147.5,631.5,830,595,813.5,454.5,591,312,152.5,300.5,463.5,299.5,715,139,195.5,94.5
3,653,956,203,905,585,772,136,648,148.5,631.5,834,596,811.5,455.5,592,313,151.5,300.5,463.5,298.5,715,139,195,95
4,656,958,203,905,585,772,135,649,147.5,631.5,838,597,810.5,454.5,592.5,313.5,152.5,300.5,463.5,299.5,712,143,196,95
5,659,960,203,906,584.5,770.5,135,649,148.5,631.5,840,598,807.5,457.5,590.5,313.5,151.5,300.5,464.5,299.5,706.5,143.5,195,96
6,661,962,203,906,581.5,769.5,135,650,147.5,632.5,842,598,807.5,455.5,591,314,151.5,301.5,463.5,299.5,705.5,143.5,191.5,98.5
7,663,963,203,906,581,766,135,649,147.5,631.5,844,600,806.5,454.5,591.5,314.5,151.5,300.5,463.5,299.5,705.5,147.5,186,101
8,664,964,204,905,580,768,135,649,147.5,632.5,847,600,805.5,454.5,593.5,315.5,151.5,301.5,463.5,299.5,708,152,184,101
9,666,964,204,905,580,767,135,648,148.5,631.5,849,601,805.5,452.5,594.5,315.5,151.5,300.5,464.5,299.5,709,151,184.5,101.5
10,668,966,204,905,580,766,135,648,148.5,631.5,849,600,802.5,453.5,593.5,315.5,151.5,300.5,463.5,298.5,709.5,148.5,181.5,102.5
11,670,968,204,905,580,766,135,648,147.5,631.5,852,603,799.5,453.5,592.5,317.5,152.5,300.5,464.5,299.5,708,152,179,105
12,673,971,204,905,579,766,135,649,147.5,631.5,856,604,800.5,454.5,593.5,317.5,151.5,300.5,463.5,299.5,708,154,179.5,104.5
13,676,973,204,905,579,763,136,648,147.5,632.5,858,605,800.5,455.5,592.5,318.5,150.5,300.5,465,300,708.5,153.5,178.5,105.5
14,678,975,204,905,578.5,764.5,137,649,148.5,632.5,861,605,797.5,455.5,593.5,318.5,151.5,300.5,465,300,709,153,178,106
15,679,977,204,905,580.5,766.5,136,649,148.5,631.5,864,607,795.5,454.5,592.5,317.5,151.5,300.5,464,300,708,152,175.5,105.5
16,682,977,204,904,580,766,135,649,147.5,631.5,866,607,793.5,455.5,592.5,317.5,152.5,300.5,463.5,299.5,706,152,175.5,106.5
